Mv,s,c,T,f,Ssw,s_real,s_imag,HQR_real,HQR_imag,WYR_real,WYR_imag,MAB_real,MAB_imag,angle,rms,cl,HH1,HH2,HH3,VV1,VV2,VV3,HV1,HV2,HV3,VH1,VH2,VH3
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,3.1,4.5,-9.46290982696111,-18.5668530312321,-10.5984414191146,-9.37979050328267,-18.2038423508444,-10.4854016120181,-106.898624916774,-115.860825729972,-108.019111764807,-106.898624934357,-115.860825806763,-108.01911178872
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,3.1,5,-8.94182568240922,-17.7405877456987,-9.95901101528281,-8.87720077846181,-17.4293819813492,-9.86570316105442,-106.386827340495,-115.060965294098,-107.389605943147,-106.386827354164,-115.060965359933,-107.389605962885
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,3.6,1,-22.1588049439989,-33.7425755040722,NaN,-22.1143159677465,-33.5217219359861,NaN,-119.613905305723,-131.108820373432,NaN,-119.613905315135,-131.108820420156,NaN
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,3.6,1.5,-18.7137207610096,-30.2179320155118,NaN,-18.6727007676384,-30.0280511489453,NaN,-116.17055988177,-127.59984623363,NaN,-116.170559890449,-127.599846273802,NaN
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,3.6,2,-16.322773673208,-27.726812699046,-17.9075977940873,-16.2859093780299,-27.5636127537743,-17.8663074865588,-113.781695299687,-125.122202893007,-115.364301437568,-113.781695307486,-125.122202927535,-115.364301446304
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,3.6,2.5,-14.5236621721779,-25.8063206277294,-16.066021235529,-14.4912490472405,-25.665901551822,-16.0291629160817,-111.98481382042,-123.213200755215,-113.52494585609,-111.984813827277,-123.213200784923,-113.524945863888
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,3.6,3,-13.1104675013633,-24.2499822606483,-14.601011691823,-13.0825056810693,-24.1288680700174,-14.5684941799056,-110.573848668706,-121.666587461062,-112.062111048908,-110.573848674622,-121.666587486687,-112.062111055787
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,3.6,3.5,-11.973296157192,-22.9473853948304,-13.4026393158081,-11.9495786933551,-22.8425590989325,-13.3742391524109,-109.43880265892,-120.372187482978,-110.865800955947,-109.438802663938,-120.372187505156,-110.865800961955
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,3.6,4,-11.0464739458814,-21.8323961926123,-12.4052129940874,-11.0266582038211,-21.7412889561563,-12.3806226945514,-108.513933752742,-119.26409647967,-109.870282471046,-108.513933756934,-119.264096498946,-109.870282476248
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,3.6,4.5,-10.2875464315524,-20.8621736858249,-11.5662786373965,-10.2712125055147,-20.7826246550879,-11.5451451807633,-107.756748957914,-118.29968145157,-109.033078810243,-107.75674896137,-118.2996814684,-109.033078814714
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,3.6,5,-9.66742516577413,-20.0073185368253,-10.8567640604773,-9.65412266473293,-19.9375228891173,-10.83871778961,-107.138144697912,-117.44972394895,-108.325109566888,-107.138144700726,-117.449723963717,-108.325109570706
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,4.1,1,-23.2811499690581,-35.9691718419258,NaN,-23.276574662813,-35.9468331170793,NaN,-120.756235330764,-133.435368614965,NaN,-120.756235331732,-133.435368619691,NaN
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,4.1,1.5,-19.8191383806723,-32.4566377640998,NaN,-19.8148092023414,-32.4360639102258,NaN,-117.294346837889,-129.923718062289,NaN,-117.294346838805,-129.923718066642,NaN
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,4.1,2,-17.4040828862397,-29.9712999967079,NaN,-17.4000667712239,-29.9525273406291,NaN,-114.879447912732,-127.439281913487,NaN,-114.879447913582,-127.439281917459,NaN
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,4.1,2.5,-15.5734814961217,-28.0507059333791,NaN,-15.5698230912111,-28.0336826096679,NaN,-113.049025417197,-125.519563417325,NaN,-113.049025417971,-125.519563420927,NaN
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,4.1,3,-14.1212965776983,-26.4888443457614,NaN,-14.1180195673288,-26.4734664731874,NaN,-111.597031234138,-123.958525322399,NaN,-111.597031234831,-123.958525325653,NaN
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,4.1,3.5,-12.9375902203544,-25.1757892314107,NaN,-12.9347000107117,-25.1619267671075,NaN,-110.413518311517,-122.646228549775,NaN,-110.413518312128,-122.646228552708,NaN
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,4.1,4,-11.9567050397673,-24.0458877906594,-13.4038475747951,-11.9541921464589,-24.0334013344757,-13.4008289757022,-109.432821818467,-121.517015634789,-110.879711460256,-109.432821818998,-121.517015637431,-110.879711460895
